book_link,book_five_star,book_four_star,book_three_star,book_two_star,book_one_star,book_ranks,book_serie,book_gelezens,book_aanhetlezens,book_wiliklezens,book_favoriets,book_recensiess,book_genre,book_aantal_pagina,book_uitgeverij,book_eerste_editie,book_laaste_editi,book_isbn
https://www.hebban.nl/boek/madrid-capitool,0,1,0,0,0,-1,[],2,0,0,0,0,"['Reizen & Talen', 'Reisgidsen Europa']",160,Unieboek|Het Spectrum,24 mei 2017,24 mei 2017,"['9789000356560', '9789000370443']"
https://www.hebban.nl/boek/provence-de-cote-dazur-capitool-top-10,0,0,0,0,0,-1,[],0,0,0,0,0,"['Reizen & Talen', 'Reisgidsen Europa']",128,Unieboek | Het Spectrum,20 juni 2017,28 juni 2017,9789000356607
https://www.hebban.nl/boek/capitool-top-10-napels-en-de-amalfikust-capitool,0,0,0,0,0,-1,[],0,0,0,0,0,"['Reizen & Talen', 'Reisgidsen Europa']",144,Unieboek|Het Spectrum,30 augustus 2017,30 augustus 2017,9789000356645
https://www.hebban.nl/boek/capitool-barcelona-capitool,0,0,0,0,0,-1,[],0,0,0,0,0,"['Reizen & Talen', 'Reisgidsen Europa']",208,Unieboek|Het Spectrum,11 januari 2016,13 januari 2016,9789000341467
https://www.hebban.nl/boek/capitool-boedapest-capitool,1,0,0,0,0,8618,[],1,0,0,0,0,"['Reizen & Talen', 'Reisgidsen Europa']",272,Unieboek|Het Spectrum,06 juni 2016,06 juni 2016,9789000341504
https://www.hebban.nl/boek/beter-op-reis-viora-rebergen,45,36,10,1,0,2055,[],97,3,47,2,5,"['Literaire non-fictie', 'Waargebeurde verhalen']",236,Xander Uitgevers B.V.,28 oktober 2020,14 oktober 2020,"['9789401613408', '9789401613361', '9789401615587']"
https://www.hebban.nl/boek/souwtje-en-de-potvis-monica-maas,1,0,0,0,0,-1,[],1,0,3,0,1,"['Kind & Jeugd', 'Prentenboeken (>6 jaar)']",32,De Vier Windstreken,25 februari 2021,25 februari 2021,9789051168341
https://www.hebban.nl/boek/capitool-dordogne-en-omstreken-capitool,0,1,0,0,0,-1,[],1,0,0,0,0,Reizen & Talen,320,Unieboek|Het Spectrum,18 januari 2016,16 januari 2016,9789000341641
https://www.hebban.nl/boek/dordogne-bordeaux-en-de-zuidwestkust-suzanne-boireau-tartarat,0,0,0,0,0,-1,[],0,0,0,0,0,"['Reizen & Talen', 'Reisgidsen Europa']",320,Unieboek | Het Spectrum,16 januari 2016,16 januari 2016,"['9789000341641', '9789000341641']"
https://www.hebban.nl/boek/capitool-istanbul-capitool,1,0,0,0,0,-1,[],0,0,0,0,0,Reizen & Talen,280,Unieboek|Het Spectrum,11 januari 2016,15 januari 2016,9789000341818
https://www.hebban.nl/boek/istanbul-rosie-ayliffe,1,0,0,0,0,-1,[],0,0,0,0,0,"['Reizen & Talen', 'Reisgidsen Europa']",280,Van Reemst,01 mei 2011,01 mei 2011,"['9789047518044', '9789000341818']"
