position,author_name,link,volgers,favorieten,gelezen,aanhetlezen,wiliklezen,favoriet,recensies,artikelen,newsroom,spots,topics
1347,Silvia Avallone,https://www.hebban.nl/auteur/silvia-avallone,15,27,266,5,168,27,14,2,,1,
1348,Maria Mosterd,https://www.hebban.nl/auteur/maria-mosterd,2,40,807,23,93,40,31,1,,,
1349,Frank de Bruyn,https://www.hebban.nl/auteur/frank-de-bruyn,37,5,25,0,25,5,8,2,,,
1350,Saskia van Mieghem,https://www.hebban.nl/auteur/saskia-van-mieghem,30,12,298,10,338,12,38,,,1,
1351,Jan van Mersbergen,https://www.hebban.nl/auteur/jan-van-mersbergen,27,15,311,8,190,16,18,4,7,3,1
1352,Tana French,https://www.hebban.nl/auteur/tana-french,26,16,374,28,395,16,16,2,,,
1353,Kristan Higgins,https://www.hebban.nl/auteur/kristan-higgins,20,22,801,12,513,22,28,3,,7,
1354,Sien Volders,https://www.hebban.nl/auteur/sien-volders,20,22,396,10,353,22,22,8,2,9,
1355,Paul Theroux,https://www.hebban.nl/auteur/paul-theroux,13,29,454,15,188,29,36,2,,,
1356,Anne de Vries,https://www.hebban.nl/auteur/anne-de-vries,4,37,465,8,38,37,3,,,,
1357,Bear Grylls,https://www.hebban.nl/auteur/bear-grylls,24,17,202,2,104,17,30,2,,,
1358,Enid Blyton,https://www.hebban.nl/auteur/enid-blyton,6,35,1105,6,123,35,12,1,,9,
1359,Els Ruiters,https://www.hebban.nl/auteur/els-ruiters,31,10,589,10,375,10,47,,,,
1360,Marnix Peeters,https://www.hebban.nl/auteur/marnix-peeters,16,25,380,5,225,25,27,1,1,2,
1361,David Walliams,https://www.hebban.nl/auteur/david-walliams,9,32,392,8,147,32,27,,1,2,
1362,Edward Rutherfurd,https://www.hebban.nl/auteur/edward-rutherfurd,11,30,300,18,297,30,8,,,9,
1363,Michael J. Sullivan,https://www.hebban.nl/auteur/michael-j-sullivan-2,17,24,174,8,98,24,14,,,2,
1364,Tom Thys,https://www.hebban.nl/auteur/tom-thys,35,6,128,4,153,6,50,6,,6,
1365,Jack Kerouac,https://www.hebban.nl/auteur/jack-kerouac,5,36,162,8,71,36,4,1,,1,
1366,Judith Fanto,https://www.hebban.nl/auteur/judith-fanto,7,34,767,55,832,34,28,7,1,1,
1367,Viviane Gerits,https://www.hebban.nl/auteur/viviane-gerits,35,6,86,3,50,6,33,,,4,
1368,Bianca Schepel,https://www.hebban.nl/auteur/bianca-schepel,39,2,9,0,7,2,6,,,,
1369,Henri Charriere,https://www.hebban.nl/auteur/henri-charriere,0,41,593,9,67,41,3,,,1,
1370,Rob Ruggenberg,https://www.hebban.nl/auteur/rob-ruggenberg,12,29,438,6,173,29,24,,3,5,
1371,Elizabeth Musser,https://www.hebban.nl/auteur/elizabeth-musser,11,30,368,9,228,30,17,,,,
1372,Dörte Hansen,https://www.hebban.nl/auteur/dorte-hansen,7,34,334,18,237,34,24,1,,1,
1373,Godfried Bomans,https://www.hebban.nl/auteur/godfried-bomans,14,26,1066,13,97,26,13,3,,9,
1374,Tica Morgan,https://www.hebban.nl/auteur/tica-morgan,4,36,1232,49,617,36,72,1,,,
1375,Ana Johns,https://www.hebban.nl/auteur/ana-johns,2,38,278,60,693,39,23,,,3,
1376,Arundhati Roy,https://www.hebban.nl/auteur/arundhati-roy,6,34,279,7,128,34,6,,1,1,
1377,F. Springer,https://www.hebban.nl/auteur/f-springer,19,21,561,4,81,21,14,,,1,
1378,Eline Stiekema,https://www.hebban.nl/auteur/eline-stiekema,39,,47,0,11,1,3,1,,1,
1379,Tracy Chevalier,https://www.hebban.nl/auteur/tracy-chevalier,3,37,540,13,269,37,34,,,3,
1380,Rianne Lampers,https://www.hebban.nl/auteur/rianne-lampers,39,,29,1,26,1,9,2,,1,
1381,Frenkie Teijzirb,https://www.hebban.nl/auteur/frenkie-teijzirb,40,,12,0,7,0,8,,,1,
1382,Boris Dittrich,https://www.hebban.nl/auteur/b-dittrich,32,8,721,19,325,8,46,6,3,5,
1383,Sally Green,https://www.hebban.nl/auteur/sally-green,21,19,245,8,304,19,34,2,,3,
1384,Arjen van Meijgaard,https://www.hebban.nl/auteur/arjen-van-meijgaard,39,,10,0,3,1,3,,,,
